SampleID	Type	Group
GCF_001663975.1_Xenopus_laevis_v2	vertebrate	group1
GCF_001640805.1_ASM164080v1	vertebrate	group1
GCF_021234165.1_CSHL_Meso_final	vertebrate	group1
GCF_002776525.5_ASM277652v5	vertebrate	group1
GCF_004126475.2_mPhyDis1.pri.v3	vertebrate	group1
GCF_000190715.1_v1.0	invertebrate	group1
GCF_000313135.1_Acastellanii.strNEFF_v1	invertebrate	group1
GCF_016920715.1_AaraD3	invertebrate	group1
GCF_002087225.1_Tth_v3	invertebrate	group1
GCF_024763615.1_Ppap_2.1	invertebrate	group1
GCF_000006515.1_JCVI_cmg_v1.0	invertebrate	group1
GCF_001457755.1_Trypanosoma_equiperdum_OVI_V2	invertebrate	group1
GCF_026262505.1_NYU_TvagG3_2	invertebrate	group1
GCF_013339725.1_ASM1333972v1	invertebrate	group1
GCF_000227135.1_ASM22713v2	invertebrate	group1
GCF_000002435.2_UU_WB_2.1	invertebrate	group1
GCF_036898095.1_ASM3689809v2	invertebrate	group1
GCF_004359215.1_BlacSF5v2	invertebrate	group1
GCF_023558435.1_ASM2355843v2	invertebrate	group1
GCF_007210705.1_Tcal_SD_v2.1	invertebrate	group1
GCF_900097015.1_PADLG01	invertebrate	group1
GCF_001643675.1_ASM164367v2	invertebrate	group1
GCF_026151205.1_MBARI_Bmic_1.0	invertebrate	group1
GCF_017916335.1_LU_Lori_1.0	invertebrate	group1
GCF_006345805.1_ASM634580v1	invertebrate	group1
GCF_003719485.1_ASM371948v1	invertebrate	group1
GCF_018135715.1_MEX_DaPlex	invertebrate	group1
GCF_028658345.1_Bduncani_v1	invertebrate	group1
GCF_032884065.1_ASM3288406v1	invertebrate	group1
GCF_000165365.1_ASM16536v1	invertebrate	group1
GCF_018691715.1_ASM1869171v1	invertebrate	group1
GCF_018143015.1_Lvar_3.0	invertebrate	group1
GCF_025200985.1_Dgunungcola_SK_2	invertebrate	group1
GCF_947563725.1_qqArgBrue1.1	invertebrate	group1
GCF_000497125.1_ASM49712v2	invertebrate	group1
GCF_000004985.1_V1.0	invertebrate	group1
GCF_002204515.2_AaegL5.0	invertebrate	group1
GCF_000003225.4_ASM322v1	invertebrate	group1
GCF_017916325.1_LU_Lmar_1.0	invertebrate	group1
GCF_012273895.1_Zerene_cesonia_1.1	invertebrate	group1
GCF_000004695.1_dicty_2.7	invertebrate	group1
GCF_014839805.1_JHU_Msex_v1.0	invertebrate	group1
GCF_000209125.1_JCVI_EDISG_1.0	invertebrate	group1
GCF_000223845.1_GNI3	invertebrate	group1
GCF_000002445.2_ASM244v1	invertebrate	group1
GCF_016086655.3_UVic_Lsal_1.2	invertebrate	group1
GCF_009768925.1_ASM976892v2	invertebrate	group1
GCF_000142945.1_ASM14294v1	invertebrate	group1
GCF_017639315.1_ASM1763931v2	invertebrate	group1
GCF_014356525.2_ASM1435652v1	invertebrate	group1
GCF_900090045.1_PmUG01	invertebrate	group1
GCF_000006405.1_JCVI_PMG_1.0	invertebrate	group1
GCF_000220395.1_JCVI__IMG1__V.1	invertebrate	group1
GCF_000149755.1_P.sojae_V3.0	invertebrate	group1
GCF_000524495.1_Plas_inui_San_Antonio_1_V1	invertebrate	group1
GCF_900005765.1_PRELSG	invertebrate	group1
GCF_042767895.1_ASM4276789v1	invertebrate	group1
GCF_031307605.1_icTriCast1.1	invertebrate	group1
GCF_002897235.1_Bovata_7.1	invertebrate	group1
GCF_000209065.1_ASM20906v1	invertebrate	group1
GCF_036669935.1_ASM3666993v2	invertebrate	group1
GCF_026930045.1_Udiv.v.3.1	invertebrate	group1
GCF_009193385.2_Nvit_psr_1.1	invertebrate	group1
GCF_020800215.1_PR__102_v3_p	invertebrate	group1
GCF_003590095.1_tn1	invertebrate	group1
GCF_008121235.1_UCBerk_Dsub_1.0	invertebrate	group1
GCF_021461395.2_iqSchAmer2.1	invertebrate	group1
GCF_000210295.1_ASM21029v1	invertebrate	group1
GCF_002706865.2_ASM270686v3	invertebrate	group1
GCF_000499425.1_EAH001	invertebrate	group1
GCF_001680005.1_ASM168000v1	invertebrate	group1
GCF_000691245.1_Tgr_V1	invertebrate	group1
GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2	invertebrate	group1
GCF_000006355.2_GCA_000006355.2	invertebrate	group1
GCF_002999335.1_CcayRef3	invertebrate	group1
GCF_000499385.1_ENH001	invertebrate	group1
GCF_037126465.1_ASM3712646v1	invertebrate	group1
GCF_023898315.1_iqSchNite1.1	invertebrate	group1
GCF_040412425.1_ASM4041242v1	invertebrate	group1
GCF_036588685.1_PNRI_Mtr1.1.1.hap1	invertebrate	group1
GCF_943734735.2_idAnoGambNW_F1_1	invertebrate	group1
GCF_015228065.2_NSTDA_Pmon_1	invertebrate	group1
GCF_000002765.6_GCA_000002765	invertebrate	group1
GCF_000321355.1_PcynB_1.0	invertebrate	group1
GCF_000237925.1_ASM23792v2	invertebrate	group1
GCF_000151545.1_ASM15154v2	invertebrate	group1
GCF_001839685.1_ASM183968v2	invertebrate	group1
GCF_013339745.2_BIME_Dsil_1.4	invertebrate	group1
GCF_932274485.2_xgPatVulg1.2	invertebrate	group1
GCF_000208865.1_ASM20886v2	invertebrate	group1
GCF_013758885.1_VT_AalbS3_pri_1.0	invertebrate	group1
GCF_001865345.1_ASM186534v1	invertebrate	group1
GCF_035046485.1_AalbF5	invertebrate	group1
GCF_000257125.1_ENU1_v1	invertebrate	group1
GCF_001601855.1_ASM160185v1	invertebrate	group1
GCF_022059095.1_T.mel.1	invertebrate	group1
GCF_019202785.1_ASM1920278v2	invertebrate	group1
GCF_020184175.1_ASM2018417v2	invertebrate	group1
GCF_013753865.1_Amil_v2.1	invertebrate	group1
GCF_963675165.1_odHalPani1.1	invertebrate	group1
GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0	invertebrate	group1
GCF_000141845.1_ASM14184v1	invertebrate	group1
GCF_016746365.2_Prin_Dyak_Tai18E2_2.1	invertebrate	group1
GCF_015732765.1_VPISU_Cqui_1.0_pri_paternal	invertebrate	group1
GCF_000281045.1_Sap_diclina_VS20_V1	invertebrate	group1
GCF_018902025.1_UCI_dwil_1.1	invertebrate	group1
GCF_040581485.1_Lhum_UNIL_v1.0	invertebrate	group1
GCF_000151665.1_ASM15166v1	invertebrate	group1
GCF_003672135.1_Obir_v5.4	invertebrate	group1
GCF_030705265.1_ASM3070526v1	invertebrate	group1
GCF_000240725.1_ASM24072v1	invertebrate	group1
GCF_000018645.1_ASM1864v1	invertebrate	group1
GCF_038502225.1_ASM3850222v1	invertebrate	group1
GCF_023897955.1_iqSchGreg1.2	invertebrate	group1
GCF_900002385.2_GCA_900002385	invertebrate	group1
GCF_000241765.3_Chrysemys_picta_bellii__3.0.3	vertebrate	group2
GCF_003254725.2_ASM325472v2	vertebrate	group2
GCF_000004195.2_Xtropicalis_v7	vertebrate	group2
GCF_000321225.1_Oros_1.0	vertebrate	group2
GCF_030028045.1_mHipAmp2.hap2	vertebrate	group2
GCF_922984935.1_mMelMel3.1_paternal_haplotype	vertebrate	group2
GCF_003342905.1_droNov1	vertebrate	group2
GCF_003665695.1_Ee_SOAP_WITH_SSPACE	vertebrate	group2
GCF_028885655.2_NHGRI_mPonAbe1__v2.0_pri	vertebrate	group2
GCF_028878055.3_NHGRI_mSymSyn1__v2.1_pri	vertebrate	group2
GCF_002163495.1_Omyk_1.0	vertebrate	group2
GCF_011100635.1_mTriVul1.pri	vertebrate	group2
GCF_009873245.2_mBalMus1.pri.v3	vertebrate	group2
GCF_016509475.1_Fcat_Pben_1.1_paternal_pri	vertebrate	group2
GCF_902635505.1_mSarHar1.11	vertebrate	group2
GCF_000344595.1_CheMyd_1.0	vertebrate	group2
GCF_018345385.1_ASM1834538v1	vertebrate	group2
GCF_009762305.2_mZalCal1.pri.v2	vertebrate	group2
GCF_902806735.1_Bank_vole1_10x	vertebrate	group2
GCF_011800845.1_UG_Zviv_1	vertebrate	group2
GCF_000146605.2_Turkey_5.0	vertebrate	group2
GCF_000164805.1_Tarsius_syrichta__2.0.1	vertebrate	group2
GCF_003031525.2_Neophocaena_asiaeorientalis_V1.1	vertebrate	group2
GCF_029215605.1_mMirAng1.0.hap1	vertebrate	group2
GCF_001704415.2_ARS1.2	vertebrate	group2
GCF_007474595.2_mLynCan4.pri.v2	vertebrate	group2
GCF_036323735.1_GRCr8	vertebrate	group2
GCF_000003025.6_Sscrofa11.1	vertebrate	group2
GCF_002166845.1_GooseV1.0	vertebrate	group2
GCF_003704035.1_HU_Pman_2.1.3	vertebrate	group2
GCF_002007445.2_ASM200744v3	vertebrate	group2
GCF_949987515.2_mDelDel1.2	vertebrate	group2
GCF_002021735.1_Okis_V1	vertebrate	group2
GCF_001660625.2_IpCoco_1.2	vertebrate	group2
GCF_000243295.1_TriManLat1.0	vertebrate	group2
GCF_000738735.2_ASM73873v2	vertebrate	group2
GCF_023159225.1_ASM2315922v1	vertebrate	group2
GCF_003676395.1_ASM367639v1	vertebrate	group2
GCF_028583685.1_PetGlider_PUasm1.0	vertebrate	group2
GCF_000238955.1_MetZeb1.1	vertebrate	group2
GCF_011064425.1_Rrattus_CSIRO_v1	vertebrate	group2
GCF_041296235.1_EquAss__T2T_v2	vertebrate	group2
GCF_002922805.1_Om_v0.7.RACA	vertebrate	group2
GCF_000296735.1_ChrAsi1.0	vertebrate	group2
GCF_000002315.5_GRCg6a	vertebrate	group2
GCF_011762595.1_mTurTru1.mat.Y	vertebrate	group2
GCF_017591425.1_NIBS_Ocur_1.0	vertebrate	group2
GCF_024542745.1_ASM2454274v1	vertebrate	group2
GCF_000002315.3_Gallus_gallus__4.0	vertebrate	group2
GCF_008315115.1_SLUC_FBN_1	vertebrate	group2
GCF_020826845.1_mDicBic1.mat.cur	vertebrate	group2
GCF_001527695.1_P.Mucros_1.0	vertebrate	group2
GCF_012931545.1_Oket_V1	vertebrate	group2
GCF_000826765.1_Fundulus_heteroclitus__3.0.2	vertebrate	group2
GCF_023699985.2_Ovbor_1.2	vertebrate	group2
GCF_006542625.1_Asia_NLE_v1	vertebrate	group2
GCF_016700215.1_bGalGal1.pat.whiteleghornlayer.GRCg7w	vertebrate	group2
GCF_000971095.1_AnsCyg_PRJNA183603_v1.0	vertebrate	group2
GCF_020171115.1_ASM_NN_V1	vertebrate	group2
GCF_028023285.1_mBalRic1.hap2	vertebrate	group2
GCF_002837175.3_ASM283717v5	vertebrate	group2
GCF_000738735.5_ASM73873v5	vertebrate	group2
GCF_000281125.1_allMis0.2	vertebrate	group2
GCF_000238955.2_M_zebra_UMD1	vertebrate	group2
GCF_943737965.1_PHOROB	vertebrate	group2
GCF_001522545.2_Parus_major1.1	vertebrate	group2
GCF_000165445.2_Mmur_3.0	vertebrate	group2
GCF_018350195.1_P.tigris_Pti1_mat1.1	vertebrate	group2
GCF_027580195.1_NWIPB_WYAK_1.1	vertebrate	group2
GCF_001522545.1_Parus_major1.0.3	vertebrate	group2
GCF_012393455.1_Tufts_HGry_1.1	vertebrate	group2
GCF_902729225.1_Ma_sr__lr_union100	vertebrate	group2
GCF_000721915.2_ASM72191v2	vertebrate	group2
GCF_900324485.1_fMasArm1.1	vertebrate	group2
GCF_011800145.1_KU_Mleo_1.0	vertebrate	group2
GCF_030020395.1_mManPen7.hap1	vertebrate	group2
GCF_001649575.1_ASM164957v1	vertebrate	group2
GCF_000738735.1_Hooded_Crow_genome	vertebrate	group2
GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5	vertebrate	group2
GCF_000721915.3_Eluc_V3	vertebrate	group2
GCF_004634155.1_Eluc_v4	vertebrate	group2
GCF_000241765.5_Chrysemys_picta_BioNano__3.0.4	vertebrate	group2
GCF_000239415.1_AstBur1.0	vertebrate	group2
GCF_000337935.1_Cliv_1.0	vertebrate	group2
GCF_018350175.1_F.catus_Fca126_mat1.0	vertebrate	group2
GCF_007565055.1_ASM756505v1	vertebrate	group2
GCF_000372685.1_Astyanax_mexicanus__1.0.2	vertebrate	group2
GCF_963455315.2_mGloMel1.2	vertebrate	group2
GCF_026419965.1_mKogBre1_haplotype_1	vertebrate	group2
GCF_004664715.2_UCI_PerLeu_2.1	vertebrate	group2
GCF_000260355.1_ConCri1.0	vertebrate	group2
GCF_021613505.1_UCLA_HA_Equagga_1.0	vertebrate	group2
GCF_000002315.6_GRCg6a	vertebrate	group2
GCF_036850995.1_mSacLep1_pri_phased_curated	vertebrate	group2
GCF_000241765.4_Chrysemys_picta_BioNano__3.0.4	vertebrate	group2
GCF_002563875.1_Bbes1.0	invertebrate	group2
GCF_021730395.1_MADL_Memer_1	invertebrate	group2
GCF_035083965.1_klBraLanc5.hap2	invertebrate	group2
GCF_000208925.1_JCVI_ESG2_1.0	invertebrate	group2
GCF_900000015.1_Plasmopara_halstedii_genome	invertebrate	group2
GCF_019968985.1_MNHN_PgigB_v1.1	invertebrate	group2
GCF_021234035.1_SC_F0__13Bv2	invertebrate	group2
GCF_037325665.1_US_GU_Lsax_2.0	invertebrate	group2
GCF_000142905.1_TheTra_May2010	invertebrate	group2
GCF_000499745.2_EMH001	invertebrate	group2
GCF_000165345.1_ASM16534v1	invertebrate	group2
GCF_000499605.1_EMW001	invertebrate	group2
GCF_000006425.1_ASM642v1	invertebrate	group2
GCF_023558535.2_ASM2355853v2	invertebrate	group2
GCF_004354385.1_UK_Dinn_1.0	invertebrate	group2
GCF_000691945.2_ASM69194v2	invertebrate	group2
GCF_009792415.1_ASM979241v2	invertebrate	group2
GCF_002095265.1_B_xinjiang1.0	invertebrate	group2
GCF_000165395.2_ASM16539v2	invertebrate	group2
GCF_017918215.1_LU_Lgha_1.0	invertebrate	group2
GCF_000755165.1_ASM75516v1	invertebrate	group2
GCF_009650485.2_ASM965048v2	invertebrate	group2
GCF_000981445.1_Bbig001	invertebrate	group2
GCF_004382195.2_ASM438219v2	invertebrate	group2
GCF_947242115.1_xgBioGlab47.1	invertebrate	group2
GCF_000234665.1_ASM23466v4	invertebrate	group2
GCF_905147105.1_ilPieBrab1.1	invertebrate	group2
GCF_000150955.2_ASM15095v2	invertebrate	group2
GCF_030788295.1_Dvir_AGI_RSII__ME	invertebrate	group2
GCF_000740895.1_ASM74089v1	invertebrate	group2
GCF_000520115.1_Apha_inva_NJM9701_V1	invertebrate	group2
GCF_014825855.1_ASM1482585v1	invertebrate	group2
GCF_902652985.1_xPecMax1.1	invertebrate	group2
GCF_002600585.1_ASM260058v1	invertebrate	group2
GCF_963966145.1_icTenMoli1.1	invertebrate	group2
GCF_017591435.1_ASM1759143v1	invertebrate	group2
GCF_000787575.1_Asub_2.0	invertebrate	group2
GCF_943735745.2_idAnoBellAS_SP24_06.2	invertebrate	group2
GCF_000247585.1_PP_INRA__310_V2	invertebrate	group2
GCF_000342415.1_JCVI__bewag__v1.1	invertebrate	group2
GCF_020536995.1_UMN_Dpol_1.0	invertebrate	group2
GCF_000002845.2_ASM284v2	invertebrate	group2
GCF_001194135.2_ASM119413v2	invertebrate	group2
GCF_000194455.1_ASM19445v1	invertebrate	group2
GCF_017918225.1_LU_LNam_1.0	invertebrate	group2
GCF_001293395.1_ASM129339v1	invertebrate	group2
GCF_020186115.1_ASM2018611v1	invertebrate	group2
GCF_000004555.2_CB4	invertebrate	group2
GCF_014466175.1_ASM1446617v1	invertebrate	group2
GCF_040183065.1_P.americana_PAMFEO1_priV1	invertebrate	group2
GCF_022581195.2_ilHelZeax1.1	invertebrate	group2
GCF_000004825.1_PolPal_Dec2009	invertebrate	group2
GCF_016746395.2_Prin_Dsim_3.1	invertebrate	group2
GCF_014905175.1_ASM1490517v1	invertebrate	group2
GCF_017916305.1_LU_Lenr_1.0	invertebrate	group2
GCF_017918235.1_LU_Pher_1.0	invertebrate	group2
GCF_016746235.2_Prin_Dtei_1.1	invertebrate	group2
GCF_023101765.2_AGI__APGP_CSIRO_Sfru_2.0	invertebrate	group2
GCF_024362695.1_ilPecGoss1.1	invertebrate	group2
GCF_003369915.1_D.miranda_PacBio2.1	invertebrate	group2
GCF_900002375.2_GCA_900002375	invertebrate	group2
GCF_000189635.1_JCVI__TTA1__2.2	invertebrate	group2
GCF_025612915.1_ASM2561291v2	invertebrate	group2
GCF_000743755.1_ASM74375v1	invertebrate	group2
GCF_011750605.1_ASM1175060v1	invertebrate	group2
GCF_008403515.1_ASM840351v1	invertebrate	group2
GCF_000203815.1_DFas_2.0	invertebrate	group2
GCF_002157705.1_Pgonderi_assembly01	invertebrate	group2
GCF_024862765.1_Bcaballi_D6B2_v1.0	invertebrate	group2
GCF_004382145.1_ASM438214v1	invertebrate	group2
GCF_002022765.2_C_virginica__3.0	invertebrate	group2
GCF_000002975.1_ASM297v1	invertebrate	group2
GCF_000224145.3_KH	invertebrate	group2
GCF_001602025.1_ASM160202v1	invertebrate	group2
GCF_900005855.1_PGAL8A	invertebrate	group2
GCF_000956335.1_Plas_frag_nilgiri_V1	invertebrate	group2
GCF_003254395.2_Amel_HAv3.1	invertebrate	group2
GCF_000003815.2_Bfl_VNyyK	invertebrate	group2
GCF_016617805.1_CSIRO_BtryS06_freeze2	invertebrate	group2
GCF_029227915.1_HSymV2.1	invertebrate	group2
GCF_003073045.1_ASM307304v1	invertebrate	group2
GCF_000520075.1_Apha_asta_APO3_V1	invertebrate	group2
GCF_900002335.3_GCA_900002335	invertebrate	group2
GCF_003324165.1_Nlova_2.1	invertebrate	group2
GCF_004936735.1_CCh_genotype_I	invertebrate	group2
GCF_000165425.1_ASM16542v1	invertebrate	group2
GCF_040958095.1_FALCON_Pclarkii_2.0	invertebrate	group2
GCF_000499545.2_ETH001	invertebrate	group2
GCF_023973825.1_ASM2397382v1	invertebrate	group2
GCF_020080835.1_MPM_Cglom_v2.3	invertebrate	group2
GCF_000699445.3_UoM_Shae.V3	invertebrate	group2
GCF_000315625.1_Guith1	invertebrate	group2
GCF_000186865.1_v_1.0	invertebrate	group2
GCF_000330505.1_EIA2_v2	invertebrate	group2
GCF_000002725.2_ASM272v2	invertebrate	group2
GCF_000002415.2_ASM241v2	invertebrate	group2
GCF_000006565.2_TGA4	invertebrate	group2
GCF_016097555.1_Gae_host_genome	invertebrate	group2
GCF_019968955.1_MNHN_PgigA_v1	invertebrate	group2
GCF_013339695.2_BIME_Rsan_1.4	invertebrate	group2
GCF_000149405.2_ASM14940v2	invertebrate	group2
GCF_900681995.1_PVVCY_v1	invertebrate	group2
GCF_029169275.1_AcerK_1.0	invertebrate	group2
GCF_003719475.1_ASM371947v1	invertebrate	group2
GCF_009870125.1_UCI_Dpse_MV25	invertebrate	group2
GCF_000002875.2_ASM287v2	invertebrate	group2
GCF_024679095.1_ASM2467909v1	invertebrate	group2
GCF_016801865.2_TS_CPP_V2	invertebrate	group2
GCF_001865355.1_ASM186535v1	invertebrate	group2
GCF_000002455.1_ASM245v1	invertebrate	group2
